City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Terra Nova,-12.37,-40.67,83.88,44,0,4.47,BR,1607284036
Pacific Grove,36.62,-121.92,59.0,58,1,3.36,US,1607283988
Vao,-22.67,167.48,76.41,83,42,18.77,NC,1607284036
Ilulissat,69.22,-51.1,24.8,49,100,20.8,GL,1607284036
Port-Gentil,-0.72,8.78,77.0,94,40,9.17,GA,1607284036
Upington,-28.45,21.26,73.4,69,100,12.75,ZA,1607284036
Marsh Harbour,26.54,-77.06,76.37,77,96,9.42,BS,1607284036
Minusinsk,53.71,91.69,-5.8,76,20,2.24,RU,1607284036
Haines Junction,60.75,-137.51,8.6,92,100,1.12,CA,1607283788
Tateyama,34.98,139.87,48.0,83,0,4.0,JP,1607284036
La Santisima Trinidad,-14.83,-64.9,86.0,48,75,11.41,BO,1607283920
Narsaq,60.92,-46.05,28.4,74,67,5.01,GL,1607284036
Solnechnyy,50.72,136.63,8.19,85,0,3.04,RU,1607284036
Comodoro Rivadavia,-45.87,-67.5,73.4,49,0,9.17,AR,1607283998
Lyndon,38.26,-85.6,45.0,61,1,8.05,US,1607284037
Natitingou,10.3,1.38,81.77,23,46,4.43,BJ,1607284037
Tecolutla,20.48,-97.02,60.8,72,90,11.41,MX,1607284037
Villa Guerrero,18.87,-99.65,80.6,34,75,4.7,MX,1607284037
Sechura,-5.56,-80.82,78.78,57,49,14.63,PE,1607284037
Kieta,-6.22,155.63,80.19,78,45,0.67,PG,1607284037
San José de Ocoa,18.55,-70.5,87.8,62,40,9.17,DO,1607284037
Tura,25.52,90.22,59.83,81,0,1.81,IN,1607283796
Pangoa,-12.12,-73.0,76.12,89,88,1.88,PE,1607284037
Moroto,2.53,34.67,72.97,56,0,13.18,UG,1607284037
Los Algarrobos,8.5,-82.43,87.8,62,40,8.05,PA,1607284037
Lower Hutt,-41.22,174.92,61.0,93,100,29.97,NZ,1607284037
Taltal,-25.4,-70.48,67.26,57,22,7.38,CL,1607284037
Yantal',56.85,105.25,8.24,91,100,12.97,RU,1607284037
Zhangaözen,43.3,52.8,20.68,93,0,15.19,KZ,1607284037
Lüderitz,-26.65,15.16,61.54,78,0,17.27,NA,1607284037
Spencer,43.14,-95.14,35.6,80,90,6.93,US,1607284037
Horsham,51.06,-0.33,35.6,100,75,5.82,GB,1607284038
Charters Towers,-20.1,146.27,71.65,77,22,5.93,AU,1607284038
Tautira,-17.73,-149.15,73.4,94,75,1.12,PF,1607284038
Basco,20.45,121.97,77.58,88,85,24.2,PH,1607284038
Tonshayevo,57.74,47.01,17.78,91,18,8.34,RU,1607284038
Katobu,-4.94,122.53,76.48,91,100,2.44,ID,1607284038
Markova,48.68,24.41,33.17,93,96,11.14,UA,1607284038
Geraldton,-28.77,114.6,57.2,82,0,8.05,AU,1607284038
Abu Samrah,35.3,37.18,52.81,62,0,2.51,SY,1607284038
Malbork,54.04,19.03,39.0,85,100,8.01,PL,1607284038
Moate,53.55,-7.72,33.01,95,0,1.01,IE,1607284038
Gigmoto,13.78,124.39,81.16,88,100,7.52,PH,1607284038
Kenai,60.55,-151.26,25.0,62,20,20.8,US,1607284038
Åkersberga,59.48,18.3,45.0,92,100,7.0,SE,1607284038
Anaconda,46.13,-112.94,39.99,54,1,1.83,US,1607284038
Terrace Bay,48.78,-87.1,30.2,92,90,3.36,CA,1607284039
Turbat,26.0,63.04,71.22,71,0,2.37,PK,1607284039
Half Moon Bay,37.46,-122.43,57.99,76,1,12.75,US,1607284039
Ukiah,39.15,-123.21,57.99,66,1,3.36,US,1607284039
Waddān,29.16,16.14,60.49,33,8,14.92,LY,1607284039
Walvis Bay,-22.96,14.51,62.01,84,0,8.48,NA,1607284039
Padang,-0.95,100.35,77.74,76,98,4.25,ID,1607284039
Kungurtug,50.6,97.52,-10.1,75,0,0.89,RU,1607284039
Alice Springs,-23.7,133.88,71.6,53,100,7.29,AU,1607283756
Kavaratti,10.57,72.64,82.56,76,92,10.09,IN,1607284039
Najrān,17.49,44.13,73.4,46,0,9.17,SA,1607284039
Lata,40.16,-8.33,53.6,93,40,4.7,PT,1607284039
Avera,33.19,-82.53,60.8,48,1,5.82,US,1607284039
Zhezkazgan,47.8,67.71,-6.39,90,0,8.46,KZ,1607284039
Narva-Jõesuu,59.46,28.04,34.25,81,97,17.65,EE,1607284039
Yumen,40.28,97.2,11.14,92,48,6.42,CN,1607283987
Ouésso,1.61,16.05,75.09,62,100,2.17,CG,1607284040
Lavrentiya,65.58,-171.0,15.03,91,0,10.63,RU,1607284040
Ouadda,8.08,22.4,75.63,23,0,5.77,CF,1607284040
Alyangula,-13.85,136.42,82.4,83,75,2.24,AU,1607284040
Nekhayevskiy,50.41,41.76,14.85,92,0,10.83,RU,1607284040
Camacha,33.08,-16.33,60.8,77,40,10.29,PT,1607283926
Sovkhoznyy,45.29,38.11,28.0,68,5,24.61,RU,1607284040
Stokmarknes,68.56,14.91,35.6,69,40,16.11,NO,1607284040
San Matías,-16.37,-58.4,93.38,39,75,7.36,BO,1607284040
Mīzan Teferī,6.98,35.58,62.71,84,0,2.48,ET,1607284040
Pacora,9.08,-79.28,84.2,74,40,4.7,PA,1607284040
Mehamn,71.04,27.85,32.0,89,75,13.87,NO,1607283938
Deputatsky,69.3,139.9,-27.69,84,15,0.85,RU,1607283966
Yaguarón,-25.6,-57.3,84.2,54,20,14.99,PY,1607284040
Røros,62.57,11.38,17.6,85,40,2.24,NO,1607284040
Cervo,43.67,-7.41,54.0,92,100,5.99,ES,1607284041
Baiyin,36.56,104.21,26.01,85,100,2.24,CN,1607284041
Alofi,-19.06,-169.92,82.4,78,75,12.75,NU,1607284041
Belle Fourche,44.67,-103.85,59.0,14,1,8.05,US,1607284002
Nome,64.5,-165.41,14.0,61,1,16.11,US,1607284041
Lompoc,34.64,-120.46,62.01,51,1,5.82,US,1607284041
Mount Isa,-20.73,139.5,80.6,26,0,8.05,AU,1607283810
San Policarpo,12.18,125.51,81.48,85,100,6.49,PH,1607284041
Bonavista,48.65,-53.11,39.2,100,100,2.24,CA,1607284041
Hamilton,39.18,-84.53,39.99,69,90,5.82,US,1607284040
Pesqueira,-8.36,-36.7,81.19,51,100,14.99,BR,1607284041
Solwezi,-12.17,26.39,64.44,96,100,3.98,ZM,1607284041
Srednekolymsk,67.45,153.68,-21.3,86,96,2.55,RU,1607284041
Sorong,-0.88,131.25,81.79,76,100,5.99,ID,1607283893
Atherton,53.52,-2.49,43.0,85,98,3.65,GB,1607284041
Opuwo,-18.06,13.84,71.96,28,0,9.73,NA,1607284041
Darnah,32.77,22.64,65.84,51,9,16.15,LY,1607284041
Harper,4.38,-7.72,79.09,81,4,4.74,LR,1607284041
Fare,-16.7,-151.02,81.46,72,100,11.39,PF,1607284041
Pecos,31.42,-103.49,60.8,21,1,6.93,US,1607284042
Tabuk,17.42,121.44,73.11,90,69,2.82,PH,1607284042
La Serena,-29.91,-71.25,64.4,63,20,13.87,CL,1607283897
Auki,-8.77,160.7,79.74,83,15,3.85,SB,1607284042
Kaitangata,-46.28,169.85,64.0,52,0,1.01,NZ,1607284042
Bradford,53.79,-1.75,42.01,100,75,5.82,GB,1607284042
Bella Union,-30.28,-57.6,74.82,52,74,9.46,UY,1607284042
Dera Bugti,29.03,69.15,61.57,36,0,4.43,PK,1607284042
Sonoita,31.85,-112.83,69.01,13,0,5.28,MX,1607284042
Marechal Cândido Rondon,-24.56,-54.06,75.16,77,80,6.26,BR,1607283813
Hohhot,40.81,111.65,3.2,59,0,6.71,CN,1607283785
Leh,34.17,77.58,17.13,81,95,0.56,IN,1607284042
Goundam,16.41,-3.67,80.6,23,0,8.32,ML,1607284042
Zhicheng,30.3,111.5,39.99,86,95,2.73,CN,1607284042
Suleja,9.18,7.18,86.0,55,0,3.36,NG,1607284042
Ormara,25.21,64.64,75.87,73,0,2.62,PK,1607284042
Grindavik,63.84,-22.43,32.0,95,90,19.46,IS,1607284042
Ust-Maya,60.42,134.53,-10.66,90,100,4.56,RU,1607284043
Urla,38.32,26.76,50.0,87,0,2.24,TR,1607284043
Hualmay,-11.1,-77.61,71.26,70,98,9.51,PE,1607284043
Whitehorse,60.72,-135.05,17.6,85,90,19.46,CA,1607283905
Imeni Poliny Osipenko,52.42,136.49,-0.18,91,5,4.14,RU,1607284043
Maniitsoq,65.42,-52.9,26.35,97,100,13.02,GL,1607284043
San Buenaventura,27.08,-101.53,69.01,18,0,3.0,MX,1607284043
Rozsypne,48.15,38.58,17.67,91,0,17.94,UA,1607284043
Thanh Pho Uong Bi,21.03,106.78,60.8,72,0,4.7,VN,1607284043
Saint-Pierre,-21.34,55.48,77.0,78,20,2.89,RE,1607284043
Areosa,41.72,-8.86,60.01,93,75,4.7,PT,1607284043
Simao,22.79,100.97,50.11,94,0,1.66,CN,1607284043
Marrakesh,31.63,-8.01,53.6,62,20,6.93,MA,1607283985
Sistranda,63.73,8.83,37.4,86,40,9.17,NO,1607284043
Santa Cruz de la Sierra,-17.8,-63.17,86.0,42,75,23.04,BO,1607283904
Middelburg,-25.78,29.46,69.06,50,73,8.37,ZA,1607284043
Verkhnyaya Toyma,62.23,45.0,33.19,94,100,8.5,RU,1607284043
Zuwārah,32.93,12.08,55.24,43,0,17.34,LY,1607284044
Dania Beach,26.05,-80.14,79.0,74,75,6.93,US,1607284044
Ambulu,-8.35,113.61,76.78,86,97,2.17,ID,1607284044
Concepción del Uruguay,-32.48,-58.24,77.0,33,0,3.0,AR,1607284044
Gbadolite,4.28,21.02,76.68,54,0,2.37,CD,1607284044
Padilla,3.22,-76.31,87.8,52,40,6.93,CO,1607284044
Freeport,40.66,-73.58,41.0,41,1,17.22,US,1607284044
Goderich,43.75,-81.72,32.0,91,100,4.7,CA,1607284044
Sémbé,1.65,14.58,74.89,72,78,2.75,CG,1607284044
Ouidah,6.36,2.09,81.01,81,7,12.95,BJ,1607284044
Mana,5.66,-53.78,81.97,76,92,10.16,GF,1607284044
Fort Nelson,58.81,-122.7,24.8,85,75,4.7,CA,1607284044
Kasungu,-13.03,33.48,74.16,57,0,5.03,MW,1607284044
Tigre,-34.43,-58.58,73.0,37,20,8.05,AR,1607284044
Beyneu,45.32,55.2,11.82,92,0,9.95,KZ,1607284044
Key Largo,25.09,-80.45,75.99,90,100,8.99,US,1607284044
Nālūt,30.33,10.85,47.08,49,0,6.69,LY,1607284045
Iskateley,67.68,53.15,30.58,95,92,16.35,RU,1607284003
Requena,39.49,-1.1,39.99,74,5,5.01,ES,1607283789
São João da Barra,-21.64,-41.05,80.6,74,20,13.87,BR,1607284045
Pemba,-12.97,40.52,82.4,83,20,9.17,MZ,1607284045
Baraboo,43.47,-89.74,35.6,64,1,4.81,US,1607283862
Peto,20.13,-88.92,83.37,75,68,3.22,MX,1607284045
Tigzirt,36.89,4.12,52.11,66,5,17.29,DZ,1607284045
Athabasca,54.72,-113.29,30.2,54,1,1.12,CA,1607284045
Burnie,-41.07,145.92,48.99,84,25,8.01,AU,1607284045
Tuatapere,-46.13,167.68,62.01,79,1,3.0,NZ,1607284045
Liverpool,53.41,-2.98,42.01,93,75,3.36,GB,1607284045
Yeppoon,-23.13,150.73,77.0,78,90,3.36,AU,1607284045
Mahibadhoo,3.78,72.97,82.17,77,100,12.95,MV,1607284045
Palu,-0.89,119.87,75.47,80,100,2.68,ID,1607284045
Bilibino,68.05,166.44,-0.96,89,89,3.62,RU,1607284045
Sulechów,52.08,15.63,48.99,87,0,13.87,PL,1607284045
Camocim,-2.9,-40.84,83.88,67,100,18.52,BR,1607284045
Florø,61.6,5.03,37.4,86,20,6.93,NO,1607284045
Bajil,15.06,43.29,79.66,75,25,9.44,YE,1607283801
Khromtau,50.25,58.43,3.02,93,0,2.08,KZ,1607284046
Nalbach,49.38,6.78,37.99,99,100,3.38,DE,1607284046
Rome,34.26,-85.16,57.2,50,1,3.36,US,1607283954
Shinpokh,34.33,71.18,60.01,39,100,3.18,PK,1607284046
Koungou,-12.73,45.2,80.6,78,40,5.82,YT,1607284046
Evanston,42.04,-87.69,37.4,80,90,4.7,US,1607283846
Hanko,59.83,22.95,41.0,81,100,1.99,FI,1607284046
Atambua,-9.11,124.89,74.68,86,100,2.37,ID,1607284046
Tías,28.96,-13.64,62.6,67,20,10.29,ES,1607284046
Nexø,55.06,15.13,46.4,87,6,18.34,DK,1607284046
Brewster,41.4,-73.62,39.99,44,1,11.41,US,1607284046
Balkhash,46.84,74.98,12.69,92,93,11.27,KZ,1607284046
